donorname	wbcode	iso3c	donorcode	region	prodconsubs	pse_percaggdp	gsse_percaggdp	marineusd	aquacultureusd	marketingprocessingusd	biofuelssupportperc	avgappliedMFN_ag	shareagpeaktariffs	avg_biofuel_MFN	countryshare_totalagmeasures	volume	fns_gni	nut_gni	agrd_gni	share_needs	share_good_fnspol	share_lowresources	untied_humanitarian	lmedian_size	averagerank	share_focus_country	shareofODAtoGPGs_disbursements	ODAvolweightedavg	gendershare	mitshare	adaptshare	share_agrdODA
Australia	AUS	AUS	801	East Asia & Pacific (all income levels)	0.1115655303	0.058723893	0.0469058156	0.000825931			0.0063873599	1.22	0	0.2884615362	0.0229650419	0.0002048784	0.0001495144	5.72738326809485E-006	4.96366519655567E-005	0.6115247011	0.3904311061	0.6707851291	0.9972767234	0.1471154541	1.0101387501	0.8777016401	0.1378640532	0.9118537903	0.1542974859	0.0820231885	0.0526513979	0.2519562542
Austria	AUT	AUT	1	Europe & Central Asia (all income levels)	0.4799071252	0.5336363316	0.0662475824				0	13.220000267	0.1114117578	3.1680643559		5.78165199840441E-005	4.88599034724757E-005	2.3769018753228E-007	8.86153520696098E-006	0.4460283518	0.5267651081	0.4874367416	0.8505972028	0.1092506498	0.1132959276	0.9145390391	0.07245747	0.5293647647	0.2636512518	0.0784119964	0.0320388898	0.2309821248
Belgium	BEL	BEL	2	Europe & Central Asia (all income levels)	1.0344470739	1.1469918489	0.1428704709	0.0021501125	0.0003635676	0.0002178345	0	13.220000267	0.1114117578	3.1680643559	0.0004142502	0.0003013831	0.0002197184	8.827891178953E-006	7.2836788604036E-005	0.5609368682	0.4619332254	0.5436986089	1	0.1660544574	0.497335881	0.8835498095	0.0595523305	0.4605886042	0.3186502159	0.0515200086	0.1316999346	0.2512979507
Canada	CAN	CAN	301	North America	0.210976094	0.3649808168	0.1201103777	0.0364688113	0.002243109	0.0004369495	0.0032001748	15.89	0.0116842743	12.2506370544	0.0643021166	0.0002939549	0.0001509321	8.0712758062873E-005	6.23100786469877E-005	0.5949155688	0.4296186864	0.6062231064	0.9867790341	0.0788815692	0.5454429388	0.798376441	0.2632235885	0.8398313522	0.6060626507	0.0526558794	0.0414763615	0.21541062
Czech Republic	CZE	CZE	68	Europe & Central Asia (all income levels)	0.420245111	0.4573824108	0.0568081886		0.0088880006		5.79424158786424E-006	13.220000267	0.1114117578	3.1680643559	0.0003827507	1.64052762556821E-005	1.54206245497335E-005	3.95235616679201E-007	1.17897561722202E-005	0.5812519193	0.427400291	0.3883290887	0.3290949464	0.128376767	0.0620777905	0.988766551	0.0768277645	0.0611056052	0.0473304465	0.0083213085	0.0454064459	0.4661827385
Denmark	DNK	DNK	3	Europe & Central Asia (all income levels)	0.6281573176	0.6754055023	0.0828652084	0.0212186836	0.0025332959	0.0031740146	0	13.220000267	0.1114117578	3.1680643559	0.0004142502	0.0005016207	0.0004336187	9.86176928563509E-006	5.81402564421296E-005	0.5597448349	0.4630543292	0.5660992861	0.9985678792	0.6369151473	0.5502474904	0.94229424	0.1356782764	0.6761566997	0.2315317094	0.1194280535	0.0556668453	0.1197020411
EC	EUU	EUU	918	Aggregates	0.5322053432	0.4736826122	0.0585227199				0	13.22	0.1114117578	3.1680643559	0.0246236287	7.81175913289189E-005	0.000076683	3.6222209018888E-006	1.73418084159493E-005	0.4558957517	0.5231425762	0.4199649394	0.9006910324	0	1.1832190752	0.8741050959	0	0.9028120637	0.1307528764	0.0689361319	0.0558023863	0.1292101294
Finland	FIN	FIN	18	Europe & Central Asia (all income levels)	0.2987532616	0.3280590773	0.0407424308	0.0012816554	0.0005416896	0.0014518466	0.0013648927	13.220000267	0.1114117578	3.1680643559	0.0008285004	0.000164043	0.0001512589	1.19714820812078E-006	0.000011587	0.5804114342	0.4626601934	0.5327891111	0.9709542394	0.2249411792	0.1558793634	0.8937296271	0	0.7026771903	0.2807320654	0.0369663835	0.0416081175	0.1542247683
France	FRA	FRA	4	Europe & Central Asia (all income levels)	0.4707612097	0.5183366537	0.0639963821	0.0070483754	0.0014132669	0.000502309	0	13.220000267	0.1114117578	3.1680643559	0.0005523336	0.0001584976	8.21791691123508E-005	1.07120820302953E-006	7.52472260501236E-005	0.4945992231	0.4721455574	0.5233955979	0.9868868589	0.0659495816	0.813195169	0.8617531061	0	0.8187114596	0.0260889661	0.034709204	0.0277630463	0.4871858954
Germany	DEU	DEU	5	Europe & Central Asia (all income levels)	0.8022387028	0.8910381198	0.110898599	0.0001835092	0.0003375619	0.0002358001	0	13.220000267	0.1114117578	3.1680643559	0.0001275836	0.0001515114	0.0001281171	2.71345015789848E-006	2.06808817893034E-005	0.5607138872	0.4455714822	0.6006711721	0.8697502613	0.2236150503	1.0573167801	0.7791208029	0	0.5878626704	0.4235290587	0.0540821664	0.162097618	0.1349550635
